service_date,time_period,route_or_line,gated_entries
2018-05-21,(16:00:00),Orange Line,6765.41
2019-09-10,(02:30:00),Red Line,9.88
2015-06-05,(07:30:00),Silver Line,306.8
2015-09-03,(10:00:00),Red Line,4030.24
2021-04-10,(07:30:00),Red Line,588.82
2021-05-14,(03:30:00),Green Line,1.0
2018-06-04,(09:00:00),Blue Line,1684.8
2016-08-01,(05:00:00),Blue Line,921.7
2022-03-07,(23:30:00),Green Line,250.48
2018-08-20,(20:00:00),Blue Line,734.8
2017-07-28,(05:30:00),Blue Line,1133.6
2019-06-12,(07:30:00),Orange Line,8649.86
2015-09-27,(14:00:00),Green Line,2095.59
2014-10-05,(06:00:00),Orange Line,763.97
2020-04-23,(22:00:00),Silver Line,17.0
2018-05-24,(18:30:00),Silver Line,499.2
2015-10-15,(16:30:00),Orange Line,8895.74
2021-11-28,(12:00:00),Blue Line,603.1
2016-03-21,(04:30:00),Green Line,40.300000000000004
2021-07-25,(15:30:00),Orange Line,1101.89
2015-03-04,(06:00:00),Red Line,4350.46
2015-03-19,(12:30:00),Blue Line,689.6
2015-09-25,(06:30:00),Green Line,1049.34
2018-05-03,(15:30:00),Red Line,6774.9400000000005
2018-11-20,(07:30:00),Blue Line,2981.3
2022-05-17,(02:00:00),Blue Line,9.0
2022-06-14,(14:30:00),Orange Line,2701.35
2015-10-21,(14:00:00),Red Line,4993.52
2015-10-15,(05:30:00),Blue Line,1158.8
2021-10-09,(01:00:00),Silver Line,2.7
2016-01-26,(00:00:00),Blue Line,138.1
2018-07-20,(08:00:00),Blue Line,2944.9
2019-08-19,(02:30:00),Red Line,4.46
2022-02-17,(12:00:00),Red Line,1868.0
2014-02-12,(00:00:00),Orange Line,408.22
2020-04-30,(12:30:00),Green Line,97.6
2020-04-13,(11:00:00),Silver Line,6.6
2016-01-16,(01:30:00),Blue Line,81.2
2016-11-16,(04:30:00),Silver Line,0.9
2016-10-29,(00:30:00),Orange Line,349.65999999999997
2016-11-02,(04:30:00),Orange Line,150.68
2017-07-22,(15:00:00),Red Line,4122.69
2017-02-04,(04:30:00),Blue Line,16.0
2021-07-05,(11:30:00),Silver Line,41.0
2021-02-01,(14:00:00),Blue Line,485.5
2021-07-24,(14:00:00),Green Line,1332.3899999999999
2017-01-24,(08:00:00),Red Line,14056.06
2015-12-02,(09:00:00),Silver Line,232.4
2017-11-28,(13:30:00),Silver Line,159.7
2019-03-21,(11:00:00),Orange Line,2542.61
2014-07-25,(22:30:00),Silver Line,146.4
2019-10-31,(04:00:00),Orange Line,4.9
2016-11-30,(06:30:00),Red Line,6443.63
2022-04-20,(02:00:00),Orange Line,9.11
2016-10-17,(04:00:00),Green Line,1.0
2014-01-20,(03:30:00),Red Line,0.58
2014-05-24,(13:00:00),Blue Line,1085.9
2018-12-29,(08:30:00),Green Line,348.64
2021-01-14,(09:00:00),Silver Line,21.0
2015-04-27,(01:00:00),Orange Line,61.75
2017-03-09,(18:00:00),Silver Line,732.5
2020-09-02,(06:00:00),Orange Line,1144.1
2014-11-22,(16:30:00),Orange Line,3683.55
2020-04-07,(00:30:00),Orange Line,21.81
2018-12-01,(16:30:00),Red Line,3256.19
2017-01-14,(14:30:00),Orange Line,2912.9
2021-09-17,(09:30:00),Blue Line,807.5
2016-05-29,(15:30:00),Green Line,1877.24
2020-03-03,(01:30:00),Blue Line,2.2
2018-02-24,(14:30:00),Orange Line,2952.51
2021-04-26,(22:30:00),Green Line,201.16
2018-12-18,(00:30:00),Green Line,125.59
2018-05-17,(11:30:00),Silver Line,124.2
2022-04-11,(23:30:00),Silver Line,41.7
2022-06-14,(17:30:00),Blue Line,1081.1
2020-09-05,(21:30:00),Green Line,371.54
2017-08-03,(16:30:00),Orange Line,7840.6
2018-02-04,(02:00:00),Blue Line,1.0
2021-02-16,(06:00:00),Green Line,219.86
2019-05-04,(05:30:00),Red Line,539.81
2014-12-20,(05:00:00),Green Line,117.67
2017-06-28,(17:30:00),Silver Line,913.5
2017-09-19,(04:30:00),Orange Line,73.36
2019-04-16,(14:30:00),Green Line,2419.31
2016-10-12,(02:00:00),Red Line,8.0
2021-06-21,(16:30:00),Blue Line,929.9
2020-01-24,(15:00:00),Silver Line,401.6
2019-01-06,(21:00:00),Green Line,476.63
2020-09-11,(04:30:00),Silver Line,3.8
2018-06-24,(18:30:00),Green Line,1646.28
2016-06-12,(05:30:00),Green Line,82.77
2020-07-07,(20:30:00),Silver Line,24.0
2018-08-18,(23:00:00),Red Line,1306.31
2017-01-05,(23:00:00),Green Line,617.42
2014-12-26,(04:00:00),Red Line,2.98
2021-04-15,(09:30:00),Green Line,390.57
2017-04-07,(05:00:00),Orange Line,1119.91
2021-12-01,(10:00:00),Blue Line,649.7
2015-04-06,(17:00:00),Green Line,5641.99
2020-03-18,(09:30:00),Silver Line,30.7
2021-06-03,(02:00:00),Blue Line,8.0
2015-03-14,(03:30:00),Red Line,7.0
2022-05-12,(21:30:00),Orange Line,1949.06
2022-01-11,(13:30:00),Orange Line,1022.83
2019-11-06,(21:30:00),Red Line,2072.55
2019-09-10,(04:00:00),Blue Line,3.0
2014-01-10,(09:30:00),Red Line,5004.73
2021-12-02,(04:00:00),Red Line,6.54
2019-01-15,(15:00:00),Blue Line,1720.9
2018-05-05,(07:00:00),Silver Line,29.4
2016-02-08,(21:00:00),Blue Line,327.8
2018-05-10,(22:30:00),Blue Line,557.5
2014-08-26,(18:00:00),Blue Line,1139.6
2017-11-03,(22:00:00),Green Line,1664.87
2016-08-27,(07:30:00),Green Line,369.15
2021-10-22,(19:00:00),Red Line,2798.8
2014-07-08,(16:30:00),Red Line,9894.52
2015-06-16,(17:30:00),Green Line,4808.32
2020-09-07,(01:30:00),Blue Line,6.0
2015-09-15,(20:00:00),Red Line,3806.5299999999997
2018-05-20,(20:30:00),Blue Line,608.3
2016-08-02,(05:30:00),Orange Line,1935.48
2018-12-15,(10:30:00),Orange Line,2042.06
2021-01-09,(21:00:00),Blue Line,164.9
2022-07-08,(10:00:00),Silver Line,70.2
2018-01-10,(06:00:00),Silver Line,119.6
2015-06-11,(13:30:00),Orange Line,2741.97
2019-02-23,(00:00:00),Orange Line,584.37
2020-12-03,(05:00:00),Silver Line,2.8
2021-08-23,(22:30:00),Silver Line,59.4
2021-10-01,(09:30:00),Orange Line,1747.76
2022-03-12,(11:30:00),Blue Line,464.5
2015-12-06,(08:30:00),Blue Line,533.4
2015-07-20,(00:00:00),Red Line,584.1800000000001
2016-10-03,(12:30:00),Orange Line,3239.41
2015-12-08,(09:00:00),Green Line,1719.69
2022-05-04,(18:00:00),Silver Line,299.9
2016-02-20,(17:30:00),Green Line,2848.64
2020-03-26,(23:30:00),Silver Line,7.2
2020-06-23,(23:00:00),Orange Line,283.64
2020-05-04,(07:00:00),Silver Line,23.6
2021-09-05,(20:00:00),Blue Line,325.8
2021-07-31,(20:00:00),Orange Line,1057.85
2018-07-16,(08:30:00),Orange Line,7793.1900000000005
2021-09-05,(11:30:00),Silver Line,80.1
2015-06-21,(03:00:00),Red Line,11.49
2016-06-15,(04:00:00),Red Line,3.0
2019-08-19,(10:30:00),Silver Line,104.8
2017-02-28,(12:30:00),Green Line,1316.63
2016-09-01,(01:00:00),Green Line,21.08
2014-11-19,(02:00:00),Green Line,1.42
2019-01-05,(16:00:00),Blue Line,1012.4
2021-10-13,(03:30:00),Orange Line,0.51
2015-06-30,(23:00:00),Silver Line,96.1
2015-06-15,(18:00:00),Orange Line,6287.17
2022-02-15,(15:00:00),Silver Line,149.4
2022-07-08,(16:00:00),Blue Line,1104.3
2017-04-20,(06:00:00),Red Line,3724.63
2020-06-09,(03:00:00),Red Line,2.0
2020-08-18,(11:00:00),Green Line,264.51
2014-10-26,(01:00:00),Blue Line,16.8
2019-01-25,(09:30:00),Blue Line,1333.8
2020-05-24,(04:30:00),Blue Line,0.1
2020-06-18,(08:00:00),Red Line,815.37
2014-06-08,(18:00:00),Silver Line,249.3
2020-04-22,(20:30:00),Orange Line,208.22
2018-10-08,(04:00:00),Orange Line,4.0
2021-06-05,(00:00:00),Silver Line,80.9
2020-12-29,(23:30:00),Blue Line,49.3
2016-04-05,(16:00:00),Orange Line,6983.25
2015-02-08,(20:00:00),Green Line,860.47
2018-06-01,(14:00:00),Silver Line,250.2
2015-09-09,(21:30:00),Blue Line,520.4
2014-09-17,(14:00:00),Green Line,2096.98
2017-07-12,(16:00:00),Red Line,8088.26
2020-11-08,(08:30:00),Green Line,116.66
2015-07-18,(00:30:00),Silver Line,52.6
2019-11-20,(20:00:00),Silver Line,236.7
2019-10-03,(15:30:00),Orange Line,6057.0599999999995
2015-11-21,(08:30:00),Orange Line,1838.63
2020-06-05,(01:00:00),Red Line,23.22
2017-07-21,(05:00:00),Blue Line,910.2
2015-11-05,(09:30:00),Blue Line,1130.5
2021-11-06,(04:30:00),Green Line,6.4399999999999995
2019-11-29,(11:30:00),Silver Line,107.4
2019-02-22,(11:00:00),Green Line,1213.28
2020-09-02,(04:30:00),Blue Line,30.5
2022-06-13,(18:00:00),Red Line,3230.1
2014-09-05,(00:30:00),Orange Line,735.22
2021-05-28,(19:30:00),Blue Line,312.4
2022-02-01,(14:30:00),Blue Line,823.6
2015-01-11,(15:00:00),Blue Line,797.8
2021-09-24,(18:00:00),Blue Line,857.2
2022-04-17,(18:00:00),Green Line,2267.0099999999998
2017-01-02,(23:30:00),Orange Line,394.01
2021-07-03,(09:00:00),Silver Line,32.5
2019-07-24,(09:30:00),Silver Line,166.3
2020-11-23,(23:00:00),Blue Line,112.2
2014-08-13,(21:30:00),Green Line,1213.29
2021-12-28,(21:30:00),Blue Line,264.0
2015-10-20,(08:00:00),Blue Line,3201.4
2019-06-08,(16:30:00),Blue Line,1556.9
2018-03-08,(00:30:00),Blue Line,48.8
2020-06-12,(05:00:00),Silver Line,0.9
2021-01-29,(03:00:00),Red Line,2.44
2019-04-30,(04:30:00),Blue Line,29.8
2020-03-21,(16:30:00),Red Line,469.86
2020-11-07,(04:30:00),Green Line,17.9
2016-07-27,(18:00:00),Silver Line,792.3
2017-06-29,(20:30:00),Orange Line,2336.02
2014-10-13,(13:30:00),Blue Line,937.3
2014-10-27,(10:00:00),Red Line,4482.27
2016-11-21,(06:30:00),Red Line,6295.67
2016-04-29,(17:00:00),Red Line,12979.36
2017-02-23,(21:00:00),Silver Line,174.0
2017-07-15,(04:30:00),Red Line,35.17
2016-12-20,(11:00:00),Orange Line,2723.26
2022-04-22,(13:30:00),Silver Line,166.8
2014-06-15,(00:30:00),Blue Line,87.4
2019-05-19,(21:00:00),Blue Line,441.9
2014-09-19,(02:30:00),Red Line,104.69
2014-07-30,(16:00:00),Red Line,8603.84
2018-12-04,(17:00:00),Blue Line,2870.2
2016-07-12,(13:00:00),Green Line,1619.97
2018-05-25,(21:00:00),Orange Line,1953.48
2022-03-15,(02:00:00),Orange Line,1.0
2021-09-20,(15:00:00),Red Line,3631.26
2015-10-15,(11:30:00),Green Line,1306.9
2017-12-20,(19:00:00),Blue Line,916.3
2017-05-11,(21:30:00),Blue Line,565.6
2016-01-25,(02:30:00),Blue Line,1.0
2020-03-09,(10:30:00),Green Line,831.98
2019-07-29,(15:00:00),Orange Line,4438.2
2022-05-28,(16:00:00),Red Line,2912.83
2016-03-19,(12:00:00),Blue Line,886.9
2020-12-22,(15:00:00),Silver Line,99.3
2016-04-26,(14:00:00),Green Line,1805.76
2022-01-28,(17:00:00),Blue Line,896.4
2019-10-06,(23:30:00),Green Line,347.1
2019-02-12,(09:30:00),Orange Line,3721.9700000000003
2014-08-10,(09:00:00),Red Line,2057.01
2015-06-29,(15:00:00),Red Line,5771.74
2016-01-15,(12:00:00),Orange Line,3305.95
2017-12-29,(07:00:00),Red Line,3327.65
2017-04-26,(15:00:00),Blue Line,1767.0
2015-05-05,(06:30:00),Red Line,6723.93
2020-05-04,(09:30:00),Orange Line,300.18
2017-03-04,(21:30:00),Blue Line,292.3
2021-05-28,(13:00:00),Green Line,730.92
2014-11-29,(16:30:00),Green Line,2350.8
2018-12-07,(09:00:00),Green Line,1576.64
2021-04-13,(23:00:00),Silver Line,32.5
2020-11-12,(18:00:00),Red Line,1291.06
2016-05-14,(18:30:00),Silver Line,144.8
2015-10-27,(16:30:00),Orange Line,8615.01
2015-11-18,(07:30:00),Silver Line,363.9
2022-05-09,(04:30:00),Orange Line,73.87
2019-04-07,(16:30:00),Green Line,1956.35
2015-10-08,(15:30:00),Red Line,7610.3
2016-08-09,(20:30:00),Red Line,2817.37
2016-11-07,(23:00:00),Red Line,1100.57
2014-01-29,(09:00:00),Green Line,1740.44
2019-08-07,(00:00:00),Blue Line,149.3
2019-09-19,(22:30:00),Green Line,1391.78
2021-03-10,(04:00:00),Orange Line,7.0
2016-02-25,(14:30:00),Red Line,5017.26
2019-02-11,(06:00:00),Silver Line,119.5
2020-02-06,(04:30:00),Orange Line,59.150000000000006
2016-05-31,(04:30:00),Red Line,121.36
2020-10-16,(07:30:00),Red Line,1569.99
2016-05-18,(04:30:00),Red Line,121.45
2022-01-04,(07:30:00),Orange Line,1900.5
2017-06-26,(07:30:00),Silver Line,328.3
2021-04-12,(01:30:00),Orange Line,11.96
2017-12-12,(18:30:00),Green Line,2929.12
2015-12-19,(22:30:00),Green Line,1101.14
2014-07-10,(05:00:00),Silver Line,16.0
2021-06-04,(02:00:00),Green Line,1.8
2017-04-27,(07:30:00),Orange Line,8127.13
2019-08-01,(23:00:00),Green Line,1403.0
2022-05-28,(00:30:00),Green Line,270.97
2016-09-28,(13:00:00),Red Line,3869.39
2020-12-23,(14:30:00),Blue Line,669.6
2018-12-15,(12:30:00),Blue Line,1017.9
2020-04-13,(19:30:00),Orange Line,169.4
2016-04-19,(14:30:00),Silver Line,268.0
2017-01-22,(18:00:00),Red Line,1999.48
2018-08-12,(05:30:00),Red Line,263.82
2020-09-19,(10:30:00),Silver Line,27.6
2019-04-01,(15:00:00),Red Line,5377.21
2017-02-26,(12:30:00),Green Line,1369.96
2020-09-29,(19:30:00),Red Line,743.2
2018-02-21,(14:00:00),Red Line,3487.24
2020-11-10,(00:30:00),Red Line,47.78
2022-06-20,(15:30:00),Silver Line,172.6
2015-09-05,(05:30:00),Green Line,153.29
2016-08-16,(18:30:00),Orange Line,3959.92
2019-11-12,(09:30:00),Silver Line,162.2
2020-03-24,(14:00:00),Silver Line,24.9
2014-06-30,(20:00:00),Red Line,3439.65
2020-05-03,(20:30:00),Red Line,205.08
2018-12-18,(16:30:00),Red Line,9289.93
2022-03-17,(18:30:00),Orange Line,2112.18
2020-06-16,(14:00:00),Silver Line,52.1
2021-06-14,(06:30:00),Silver Line,59.7
2018-08-02,(17:30:00),Green Line,4577.39
2019-04-02,(23:30:00),Orange Line,601.85
2021-06-14,(06:30:00),Orange Line,1272.74
2015-01-12,(04:00:00),Green Line,0.9099999999999999
2014-04-14,(13:30:00),Blue Line,952.5
2019-03-24,(00:00:00),Red Line,242.91
2018-03-06,(13:00:00),Red Line,3249.62
2018-07-30,(20:30:00),Silver Line,219.7
2014-12-17,(12:00:00),Red Line,3760.98
2018-11-16,(13:30:00),Red Line,3823.69
2017-01-11,(02:30:00),Green Line,1.62
2021-02-27,(03:30:00),Green Line,1.0699999999999998
2016-07-28,(13:30:00),Blue Line,1249.0
2022-02-14,(08:30:00),Blue Line,1073.7
2016-08-30,(06:30:00),Orange Line,4184.8099999999995
2018-07-06,(07:30:00),Orange Line,6012.79
2014-03-01,(05:30:00),Red Line,482.44
2019-11-13,(07:00:00),Blue Line,2663.5
2021-05-15,(09:30:00),Red Line,1077.44
2014-06-11,(14:30:00),Blue Line,1308.2
2018-04-13,(10:30:00),Green Line,1299.87
2017-12-14,(02:00:00),Blue Line,1.0
2015-09-24,(13:30:00),Green Line,1786.57
2022-06-17,(05:00:00),Red Line,889.79
2015-05-30,(14:00:00),Green Line,1941.14
2014-07-15,(12:00:00),Green Line,1430.85
2016-06-06,(02:30:00),Red Line,2.0
2021-02-11,(15:30:00),Green Line,751.92
2016-11-23,(02:00:00),Blue Line,0.1
2016-09-27,(06:30:00),Orange Line,5083.8099999999995
2017-06-26,(06:30:00),Red Line,5648.9
2019-01-26,(20:00:00),Orange Line,1507.51
2021-12-17,(01:00:00),Orange Line,43.69
2015-08-22,(09:30:00),Blue Line,834.0
2014-09-28,(03:30:00),Green Line,1.34
2020-03-20,(00:00:00),Silver Line,7.5
2021-06-03,(06:30:00),Green Line,289.05
2020-04-23,(13:00:00),Silver Line,15.6
2021-10-25,(11:30:00),Green Line,723.79
2020-06-01,(14:30:00),Blue Line,320.8
2016-01-18,(14:00:00),Silver Line,246.4
2017-01-29,(07:00:00),Red Line,775.62
2019-07-22,(14:00:00),Silver Line,252.6
2019-05-19,(00:00:00),Silver Line,46.4
2018-07-16,(06:00:00),Red Line,3785.73
2014-06-04,(06:30:00),Orange Line,4778.92
2016-03-25,(22:30:00),Red Line,1698.95
2017-05-21,(23:00:00),Silver Line,75.7
2022-05-28,(23:00:00),Red Line,1974.4
2016-12-09,(09:30:00),Silver Line,140.5
2018-06-09,(16:30:00),Orange Line,3963.23
2020-06-22,(15:30:00),Silver Line,45.4
2020-10-28,(10:30:00),Red Line,881.78
2018-03-03,(08:30:00),Red Line,1572.27
2019-10-09,(13:00:00),Orange Line,3469.31
2016-08-15,(17:30:00),Red Line,10240.71
2016-03-27,(06:00:00),Silver Line,22.7
2022-01-30,(06:30:00),Green Line,152.05
2021-11-26,(12:00:00),Silver Line,80.3
2021-02-14,(11:30:00),Green Line,323.36
2018-10-26,(14:30:00),Silver Line,280.5
2019-02-21,(03:00:00),Orange Line,2.43
2019-09-03,(19:00:00),Red Line,4591.55
2014-08-23,(10:00:00),Blue Line,1012.8
2017-08-29,(04:30:00),Green Line,52.629999999999995
2015-09-25,(09:00:00),Orange Line,5242.91
2017-06-30,(06:00:00),Blue Line,1653.2
2019-04-12,(20:30:00),Blue Line,609.2
2015-03-05,(20:00:00),Red Line,3462.64
2018-05-13,(11:00:00),Red Line,2106.37
2014-08-26,(21:00:00),Blue Line,557.9
2015-05-11,(18:00:00),Silver Line,724.8
2017-10-25,(06:00:00),Red Line,4372.22
2016-09-28,(07:00:00),Green Line,1598.35
2020-01-09,(00:30:00),Green Line,109.94
2016-01-20,(15:00:00),Blue Line,1247.6
2015-05-15,(15:30:00),Silver Line,485.9
2014-02-07,(13:30:00),Red Line,4289.48
2015-09-01,(00:00:00),Silver Line,41.7
2014-05-07,(12:00:00),Green Line,1503.77
2016-01-24,(22:30:00),Silver Line,46.2
2019-03-13,(00:00:00),Green Line,302.87
2014-03-31,(07:30:00),Silver Line,341.7
2020-05-09,(12:00:00),Blue Line,128.3
2016-10-15,(15:00:00),Silver Line,165.7
2020-12-23,(11:30:00),Blue Line,389.0
2015-08-08,(20:30:00),Orange Line,1771.19
2016-03-28,(23:00:00),Red Line,988.14
2020-09-12,(20:30:00),Orange Line,608.24
2021-12-06,(02:30:00),Green Line,0.34
2017-11-19,(22:00:00),Orange Line,929.12
2016-09-15,(12:00:00),Green Line,1574.65
2019-09-01,(22:30:00),Silver Line,74.3
2018-12-25,(20:00:00),Silver Line,65.4
2022-07-11,(09:30:00),Orange Line,1597.19
2014-10-08,(21:00:00),Orange Line,2460.12
2016-02-22,(23:00:00),Silver Line,77.9
2015-03-28,(20:30:00),Red Line,2088.7799999999997
2019-06-03,(19:30:00),Red Line,3527.4700000000003
2021-04-14,(19:30:00),Silver Line,42.1
2019-07-19,(08:30:00),Red Line,8881.91
2018-05-14,(21:00:00),Silver Line,126.8
2014-05-20,(18:00:00),Orange Line,7009.18
2014-03-25,(02:30:00),Blue Line,1.0
2014-10-23,(21:00:00),Orange Line,2336.19
2014-03-13,(12:00:00),Green Line,1333.07
2017-01-26,(10:00:00),Blue Line,1112.4
2017-01-18,(23:30:00),Silver Line,25.6
2015-01-24,(22:00:00),Green Line,2087.64
2016-05-24,(18:30:00),Red Line,6427.35
2017-02-10,(14:00:00),Blue Line,1254.6
2017-09-18,(22:00:00),Orange Line,1425.95
2021-12-04,(10:00:00),Green Line,576.95
2016-06-21,(19:00:00),Silver Line,346.5
2020-03-16,(06:00:00),Green Line,402.88
2018-10-19,(20:30:00),Orange Line,2156.71
2017-02-08,(01:00:00),Red Line,47.3
2019-01-20,(15:00:00),Silver Line,113.7
2020-09-11,(01:00:00),Orange Line,34.09
2020-06-10,(18:00:00),Silver Line,40.3
2014-12-02,(02:30:00),Red Line,2.0
2015-08-13,(08:00:00),Green Line,2546.4700000000003
2015-08-17,(21:00:00),Orange Line,1887.96
2020-11-02,(15:00:00),Silver Line,124.7
2022-03-18,(09:00:00),Blue Line,971.9
2015-11-19,(10:00:00),Green Line,1192.31
2016-08-15,(10:00:00),Silver Line,114.0
2016-05-11,(20:30:00),Green Line,1854.87
2015-11-17,(10:30:00),Blue Line,740.2
2021-08-15,(11:00:00),Blue Line,660.1
2016-06-07,(13:00:00),Green Line,1549.5
2017-07-08,(05:30:00),Orange Line,571.1
2015-10-17,(09:30:00),Silver Line,72.2
2017-07-01,(09:30:00),Blue Line,922.5
2020-04-21,(17:00:00),Red Line,517.89
2020-12-03,(17:00:00),Silver Line,111.5
2020-03-06,(00:30:00),Orange Line,193.41
2014-11-10,(22:00:00),Orange Line,2028.44
2020-04-03,(22:00:00),Blue Line,93.3
2014-02-28,(21:30:00),Red Line,2956.21
2019-04-07,(23:30:00),Red Line,397.83
2018-02-10,(01:30:00),Orange Line,17.17
2015-12-19,(10:00:00),Orange Line,2426.55
2020-01-15,(19:00:00),Red Line,4400.71
2020-04-14,(19:00:00),Silver Line,14.0
2021-08-10,(02:00:00),Orange Line,1.0
2019-03-31,(23:30:00),Blue Line,235.0
2020-12-31,(13:00:00),Blue Line,339.9
2018-10-01,(23:30:00),Red Line,550.3
2016-06-08,(21:00:00),Green Line,1634.1100000000001
2015-07-28,(15:00:00),Orange Line,5189.74
2019-05-05,(00:00:00),Silver Line,37.9
2014-07-07,(18:00:00),Silver Line,731.2
2014-09-15,(10:00:00),Red Line,4393.47
2020-03-22,(16:30:00),Green Line,145.81
2016-08-31,(15:30:00),Blue Line,1785.3
2019-12-09,(00:30:00),Red Line,105.81
2018-09-12,(22:30:00),Red Line,1542.63
2018-02-07,(09:30:00),Orange Line,3625.9700000000003
2019-03-09,(21:30:00),Orange Line,2405.92
2018-07-17,(06:00:00),Orange Line,3127.63
2018-10-08,(06:00:00),Silver Line,47.0
2018-07-14,(22:00:00),Red Line,1783.44
2020-10-22,(12:00:00),Orange Line,1056.06
2019-06-03,(14:30:00),Green Line,2002.97
2017-02-02,(05:00:00),Blue Line,910.7
2014-06-01,(14:30:00),Red Line,3049.61
2017-06-07,(14:30:00),Green Line,1899.87
2019-02-18,(04:30:00),Orange Line,30.77
2014-05-01,(02:30:00),Red Line,2.5599999999999996
2017-11-02,(01:30:00),Blue Line,3.0
2018-12-12,(21:00:00),Orange Line,1913.33
2020-11-02,(03:30:00),Blue Line,1.2
2022-05-09,(16:00:00),Orange Line,3117.65
2017-10-02,(18:00:00),Green Line,3937.5
2016-03-12,(20:00:00),Blue Line,564.4
2015-03-20,(10:30:00),Red Line,3421.46
2018-06-11,(18:00:00),Red Line,8456.2
2019-07-24,(08:30:00),Red Line,10593.37
2018-09-30,(01:30:00),Silver Line,0.3
2020-09-01,(18:30:00),Blue Line,377.1
2020-11-02,(22:30:00),Blue Line,107.5
2017-03-13,(13:00:00),Green Line,1416.37
2022-06-09,(13:30:00),Green Line,906.56
2016-11-25,(06:30:00),Red Line,1833.31
2016-02-07,(08:00:00),Orange Line,1140.56
2015-03-13,(13:30:00),Silver Line,239.7
2019-09-23,(14:30:00),Blue Line,1308.5
2017-12-04,(00:30:00),Blue Line,45.9
2016-06-25,(09:30:00),Blue Line,955.6
2016-06-28,(07:00:00),Orange Line,6186.17
2019-12-22,(09:30:00),Blue Line,597.5
2017-05-06,(05:30:00),Blue Line,410.0
2020-08-11,(00:00:00),Green Line,61.84
2022-01-26,(20:00:00),Green Line,607.56
2020-11-30,(17:00:00),Green Line,703.65
2019-03-07,(05:00:00),Orange Line,1079.72
2022-07-13,(18:30:00),Blue Line,717.5
2016-12-04,(00:00:00),Orange Line,274.4
2019-06-26,(11:00:00),Silver Line,156.3
2017-04-20,(07:00:00),Red Line,8422.6
2020-11-15,(00:00:00),Orange Line,60.8
2021-12-22,(21:30:00),Blue Line,309.9
2015-02-25,(13:00:00),Green Line,1549.33
2015-02-10,(06:30:00),Silver Line,10.7
2016-09-09,(18:00:00),Green Line,3610.67
2019-12-17,(23:00:00),Silver Line,117.2
2016-11-22,(23:30:00),Green Line,649.27
2019-04-14,(06:00:00),Silver Line,15.4
2018-01-31,(10:00:00),Green Line,1045.36
2017-03-23,(22:30:00),Orange Line,1204.34
2020-03-11,(21:30:00),Blue Line,388.7
2019-10-28,(21:00:00),Red Line,2028.58
2021-02-23,(13:00:00),Orange Line,1069.08
2021-12-06,(22:00:00),Blue Line,246.7
2014-01-31,(16:30:00),Blue Line,2259.5
2020-05-02,(00:30:00),Green Line,11.25
2019-12-03,(17:00:00),Silver Line,968.5
2019-12-09,(17:00:00),Green Line,6544.9
2018-02-14,(06:30:00),Silver Line,189.2
2022-07-07,(13:30:00),Blue Line,802.9
2020-12-07,(07:00:00),Green Line,278.9
2019-10-29,(09:00:00),Green Line,1781.9
2020-11-15,(18:00:00),Green Line,423.04
2021-02-18,(13:00:00),Orange Line,995.64
2020-12-24,(08:00:00),Silver Line,33.0
2018-04-16,(21:30:00),Blue Line,425.7
2015-06-19,(09:00:00),Silver Line,178.4
2018-11-08,(17:00:00),Red Line,13454.47
2016-08-04,(02:30:00),Green Line,3.34
2017-10-08,(14:00:00),Blue Line,1201.3
2021-05-18,(22:30:00),Red Line,498.0
2020-01-20,(08:30:00),Red Line,2945.25
2021-08-08,(17:00:00),Silver Line,135.2
2018-11-06,(20:30:00),Silver Line,141.3
2015-05-18,(09:00:00),Orange Line,5132.78
2016-04-26,(04:00:00),Blue Line,1.9000000000000001
2020-05-24,(17:00:00),Blue Line,4.300000000000001
2019-07-07,(14:00:00),Green Line,1636.52
2016-11-12,(04:30:00),Red Line,30.98
2015-08-24,(16:30:00),Green Line,3785.06
2018-10-06,(02:30:00),Green Line,0.34
2019-06-20,(16:30:00),Silver Line,1018.3
2018-04-29,(17:00:00),Green Line,2204.05
2020-12-21,(18:30:00),Red Line,950.73
2021-03-09,(09:00:00),Orange Line,1052.02
2018-12-14,(18:00:00),Blue Line,1388.0
2015-07-07,(22:00:00),Orange Line,1931.77
2021-11-28,(07:30:00),Green Line,156.34
2020-06-13,(04:30:00),Orange Line,27.32
2017-08-10,(18:00:00),Orange Line,5631.83
2014-02-08,(06:00:00),Green Line,227.25
2020-06-28,(12:30:00),Orange Line,496.67
2020-08-22,(04:30:00),Green Line,18.27
2015-05-11,(09:30:00),Green Line,1224.55
2018-06-27,(07:00:00),Green Line,1349.45
2020-04-10,(22:30:00),Orange Line,123.53
2022-02-17,(02:00:00),Orange Line,5.66
2015-09-24,(13:00:00),Green Line,1828.77
2020-12-17,(07:30:00),Red Line,671.51
2021-04-08,(07:00:00),Red Line,1853.62
2021-01-16,(17:00:00),Silver Line,40.9
2019-01-28,(21:30:00),Orange Line,2084.46
2016-12-15,(02:30:00),Blue Line,0.1
2017-05-21,(16:30:00),Green Line,1971.45
2020-12-20,(11:30:00),Silver Line,19.3
2020-10-13,(08:30:00),Orange Line,1108.93
2021-01-16,(21:30:00),Silver Line,36.9
2016-04-11,(05:00:00),Green Line,236.99
2015-11-20,(22:00:00),Green Line,2330.29
2021-10-24,(06:30:00),Blue Line,370.4
2018-09-13,(23:30:00),Orange Line,732.91
